"","Size"
"Lipogenys gillii",50
"Liponema multicorne",9
"Lithodes maja",11.8875
"Loligo pealeii",78.85
"Lophaster furcifer",16.4
"Lophelia pertusa",1.2
"Lophius americanus",120
"Lopholatilus chamaeleonticeps",125
"Lumpenus fabricii",36.5
"Lumpenus lampretaeformis",50
"Lumpenus maculatus",45.8333333333333
"Lumpenus medius",45.8333333333333
"Lycenchelys paxillus",17.5
"Lycenchelys verrilli",23.043518560904
"Lycenchelys verrillii",25
"Lycodes esmarki",41.7640425499449
"Lycodes eudipleurostictus",44.5
"Lycodes lavalaei",56
"Lycodes pallidus",26
"Lycodes polaris",25
"Lycodes reticulatus",36
"Lycodes terraenova",41.7640425499449
"Lycodes terraenovae",45.2000007629395
"Lycodes turneri",25
"Lycodes vahlii",52
"Macoma",3.95814814814815
"Macrorhamphosus scolopax",20
"Macrostomias longibarbatus",43
"Macrourus berglax",110
"Mactromeris polynyma",14.6
"Maera loveni",2.5
"Magnisudis atlantica",56
"Malacocephalus occidentalis",45
"Malacoraja senta",61
"Malacosteus niger",25.6000003814697
"Mallotus villosus",20
"Margarites",0.924782608695652
"Mastigoteuthis",12.04
"Maurolicus muelleri",8
"Mediaster bairdi",20
"Megaptera novaeangliae",1889.76
"Megayoldia thraciaeformis",6.5
"Melamphaes microps",9.60000038146973
"Melamphaes suborbitalis",10.6000003814697
"Melanogrammus aeglefinus",112
"Melanostigma atlanticum",15
"Melita dentata",2.2
"Menidia menidia",15
"Mentodus rostratus",32.2000007629395
"Mercenaria mercenaria",13
"Merluccius albidus",40.5999984741211
"Merluccius bilinearis",76
"Mesodesma",8.35
"Metridium senile",5
"Microgadus tomcod",38.0999984741211
"Micromesistius poutassou",55.5
"Modiolus modiolus",18
"Mola mola",333
"Molpadia",9.48749995231628
"Molva dypterygia",155
"Monodon monoceros",470
"Monolene sessilicauda",18
"Monstrilla",0.4
"Morone saxatilis",200
"Morus bassanus",93
"Mugil cephalus",100
"Munida iris",9.276
"Munida valida",9.276
"Munidopsis curvirostra",1.795
"Musculus",3
"Mustelus canis",150
"Mya arenaria",10
