"aphiaID","ScientificName","Kingdom","Phylum","Class","Order","Family","Genus","Species"
137080,"Halichoerus grypus","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Halichoerus","grypus"
159131,"Himantopus mexicanus","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","mexicanus"
159092,"Histrionicus histrionicus","Animalia","Chordata","Aves","Anseriformes","Anatidae","Histrionicus","histrionicus"
137189,"Hydrobates pelagicus","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Hydrobates","pelagicus"
137120,"Hyperoodon (Hyperoodon) ampullatus","Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Hyperoodon","ampullatus"
343899,"Hyperoodon ampullatus","Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Hyperoodon","ampullatus"
159119,"Ixobrychus exilis","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Ixobrychus","exilis"
137113,"Kogia breviceps","Animalia","Chordata","Mammalia","Cetartiodactyla","Kogiidae","Kogia","breviceps"
159025,"Kogia sima","Animalia","Chordata","Mammalia","Cetartiodactyla","Kogiidae","Kogia","sima"
137099,"Lagenodelphis hosei","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenodelphis","hosei"
137100,"Lagenorhynchus acutus","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","acutus"
137101,"Lagenorhynchus albirostris","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","albirostris"
137138,"Larus argentatus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","argentatus"
159074,"Larus atricilla","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","atricilla"
137141,"Larus canus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","canus"
148797,"Larus delawarensis","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","delawarensis"
137142,"Larus fuscus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","fuscus"
137144,"Larus glaucoides","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","glaucoides"
159075,"Larus glaucoides glaucoides","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","glaucoides"
137145,"Larus hyperboreus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","hyperboreus"
137146,"Larus marinus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","marinus"
137148,"Larus minutus","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","minutus"
159076,"Larus philadelphia","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","philadelphia"
159077,"Larus pipixcan","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","pipixcan"
137152,"Larus tridactyla","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","tridactyla"
158955,"Limnodromus griseus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limnodromus","griseus"
158957,"Limnodromus scolopaceus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limnodromus","scolopaceus"
158965,"Limosa fedoa","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","fedoa"
159033,"Limosa haemastica","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","haemastica"
159034,"Limosa lapponica","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","lapponica"
159035,"Limosa limosa","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa","limosa"
159017,"Lontra canadensis","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lontra","canadensis"
159094,"Lophodytes cucullatus","Animalia","Chordata","Aves","Anseriformes","Anatidae","Lophodytes","cucullatus"
159001,"Megaceryle alcyon","Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Megaceryle","alcyon"
137092,"Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Megaptera","novaeangliae"
137072,"Melanitta fusca","Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","fusca"
137073,"Melanitta nigra","Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","nigra"
159095,"Melanitta perspicillata","Animalia","Chordata","Aves","Anseriformes","Anatidae","Melanitta","perspicillata"
159097,"Mergus merganser","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","merganser"
159098,"Mergus serrator","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mergus","serrator"
137121,"Mesoplodon bidens","Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","bidens"
137122,"Mesoplodon densirostris","Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","densirostris"
137123,"Mesoplodon europaeus","Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","europaeus"
137124,"Mesoplodon grayi","Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","grayi"
137125,"Mesoplodon hectori","Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","hectori"
137126,"Mesoplodon mirus","Animalia","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","mirus"
148776,"Morus bassanus","Animalia","Chordata","Aves","Pelecaniformes","Sulidae","Morus","bassanus"
159150,"Mycteria americana","Animalia","Chordata","Aves","Ciconiiformes","Ciconiidae","Mycteria","americana"
159037,"Numenius arquata","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","arquata"
159038,"Numenius borealis","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","borealis"
159040,"Numenius phaeopus","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Numenius","phaeopus"
159121,"Nyctanassa violacea","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Nyctanassa","violacea"
159123,"Nycticorax nycticorax","Animalia","Chordata","Aves","Ciconiiformes","Ardeidae","Nycticorax","nycticorax"
137190,"Oceanites oceanicus","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanites","oceanicus"
137192,"Oceanodroma leucorhoa","Animalia","Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanodroma","leucorhoa"
137077,"Odobenus rosmarus","Animalia","Chordata","Mammalia","Carnivora","Odobenidae","Odobenus","rosmarus"
137102,"Orcinus orca","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Orcinus","orca"
159100,"Oxyura jamaicensis","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura","jamaicensis"
137154,"Pagophila eburnea","Animalia","Chordata","Aves","Charadriiformes","Laridae","Pagophila","eburnea"
159019,"Pagophilus groenlandicus","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Pagophilus","groenlandicus"
159377,"Pandion haliaetus","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Pandion","haliaetus"
159058,"Pelecanus erythrorhynchos","Animalia","Chordata","Aves","Pelecaniformes","Pelecanidae","Pelecanus","erythrorhynchos"
137103,"Peponocephala electra","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Peponocephala","electra"
137177,"Phaethon aethereus","Animalia","Chordata","Aves","Pelecaniformes","Phaethontidae","Phaethon","aethereus"
159059,"Phalacrocorax auritus","Animalia","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","auritus"
137179,"Phalacrocorax carbo","Animalia","Chordata","Aves","Pelecaniformes","Phalacrocoracidae","Phalacrocorax","carbo"
159042,"Phalaropus fulicaria","Animalia","Chordata","Aves","Charadriiformes","Phalaropodidae","Phalaropus","fulicaria"
137168,"Phalaropus fulicarius","Animalia","Chordata","Aves","Charadriiformes","Phalaropodidae","Phalaropus","fulicarius"
137169,"Phalaropus lobatus","Animalia","Chordata","Aves","Charadriiformes","Phalaropodidae","Phalaropus","lobatus"
159043,"Phalaropus tricolor","Animalia","Chordata","Aves","Charadriiformes","Phalaropodidae","Phalaropus","tricolor"
159046,"Philomachus pugnax","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Philomachus","pugnax"
137084,"Phoca vitulina","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Phoca","vitulina"
137117,"Phocoena phocoena","Animalia","Chordata","Mammalia","Cetartiodactyla","Phocoenidae","Phocoena","phocoena"
137118,"Physeter catodon","Animalia","Chordata","Mammalia","Cetartiodactyla","Physeteridae","Physeter","catodon"
137119,"Physeter macrocephalus","Animalia","Chordata","Mammalia","Cetartiodactyla","Physeteridae","Physeter","macrocephalus"
137132,"Pinguinus impennis","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Pinguinus","impennis"
158977,"Plegadis falcinellus","Animalia","Chordata","Aves","Ciconiiformes","Threskiornithidae","Plegadis","falcinellus"
159135,"Pluvialis apricaria","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","apricaria"
159136,"Pluvialis dominica","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","dominica"
159137,"Pluvialis squatarola","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Pluvialis","squatarola"
137181,"Podiceps auritus","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","auritus"
137182,"Podiceps cristatus","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","cristatus"
137183,"Podiceps grisegena","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podiceps","grisegena"
159062,"Podilymbus podiceps","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Podilymbus","podiceps"
159011,"Porphyrula martinica","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porphyrula","martinica"
159013,"Porzana carolina","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","carolina"
137104,"Pseudorca crassidens","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Pseudorca","crassidens"
137196,"Pterodroma arminjoniana","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Pterodroma","arminjoniana"
137201,"Puffinus gravis","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","gravis"
137202,"Puffinus griseus","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","griseus"
137203,"Puffinus puffinus","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","puffinus"
159021,"Pusa hispida","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Pusa","hispida"
159015,"Rallus elegans","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","elegans"
159744,"Rallus limicola","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","limicola"
159745,"Rallus longirostris","Animalia","Chordata","Aves","Gruiformes","Rallidae","Rallus","longirostris"
159140,"Recurvirostra americana","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","americana"
137155,"Rhodostethia rosea","Animalia","Chordata","Aves","Charadriiformes","Laridae","Rhodostethia","rosea"
137156,"Rissa tridactyla","Animalia","Chordata","Aves","Charadriiformes","Laridae","Rissa","tridactyla"
159079,"Rynchops niger","Animalia","Chordata","Aves","Charadriiformes","Rynchopidae","Rynchops","niger"
159027,"Scolopax minor","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Scolopax","minor"
159028,"Scolopax rusticola","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Scolopax","rusticola"
137074,"Somateria mollissima","Animalia","Chordata","Aves","Anseriformes","Anatidae","Somateria","mollissima"
137075,"Somateria spectabilis","Animalia","Chordata","Aves","Anseriformes","Anatidae","Somateria","spectabilis"
137105,"Stenella attenuata","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Stenella","attenuata"
137106,"Stenella clymene","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Stenella","clymene"
137107,"Stenella coeruleoalba","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Stenella","coeruleoalba"
137108,"Stenella frontalis","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Stenella","frontalis"
137109,"Stenella longirostris","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Stenella","longirostris"
137110,"Steno bredanensis","Animalia","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Steno","bredanensis"
137171,"Stercorarius longicaudus","Animalia","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","longicaudus"
137172,"Stercorarius parasiticus","Animalia","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","parasiticus"
137173,"Stercorarius pomarinus","Animalia","Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","pomarinus"
